ENGLISH,HINDI
Sir,महोदय
Madam,महोदया
Brother,भाई
Sister,बहन
Friend,दोस्त
Family,परिवार
Home,घर
House,घर
Shop,दुकान
Market,बाज़ार
Road,सड़क
Street,गली
Bus,बस
Train,रेलगाड़ी
Car,कार
Time,समय
Money,धन
Work,काम
School,विद्यालय
College,कॉलेज
Food,खाना
Eatables,खाने-पीने की चीज़ें
Water,पानी
Tea,चाय
Coffee,कॉफी
Phone,फ़ोन
Mobile,गतिमान
Name,नाम
Thing,चीज़
Problem,संकट
Day,दिन
Night,रात
Evening,शाम
Year,वर्ष
Month,महीना
Week,सप्ताह
City,शहर
Village,गाँव
Government,सरकार
Go,जाना
Come,आना
Eat,खाओ
Drink,पीना
Sleep,नींद
Wake up,जागो
Sit,बैठना
Stand,खड़ा होना
Walk,टहलना
Run,दौड़ना
Talk,बात करना
Speak,बोलना
Listen,सुनना
See,देखना
Look,देखना
Know,जानना
Understand,समझना
Want,चाहना
Need,ज़रूरत
Have,पास होना
Has,है
Do,करना
Does,करता है
Make,बनाना
Give,देना
Take,लेना
Buy,खरीदना
Sell,बेचना
Open,खुला
Close,बंद करना
Start,शुरू
Stop,रुकना
Help,मदद
Ask,पूछना
Tell,कहना
Show,दिखाओ
Use,उपयोग
Live,रहना
Think,सोचना
Good,अच्छा
Bad,खराब
Big,बड़ा
Small,छोटा
New,नया
Old,पुराना
Hot,गर्म
Cold,ठंडा
Dirty,गंदा
Happy,खुश
Sad,उदास
Easy,आसान
Difficult,कठिन
TRUE,सत्य
FALSE,असत्य
Right,सही
Wrong,गलत
More,अधिक
Less,कम
Same,वही
Different,अलग
Here,यहाँ
There,वहाँ
Now,अब
Later,बाद में
Today,आज
Tomorrow,कल
Yesterday,कल
Always,हमेशा
Never,कभी नहीं
Very,बहुत
Really,वास्तव में
Just,अभी
Only,केवल
In,में
On,पर
At,पर
From,से
To,को
With,साथ
Without,बिना
For,के लिए
About,के बारे में
